NOME_EMPRESARIAL;INICIO_ATIVIDADE;NUMERO_DO_ALVARA;NOME DA EMPRESA;DATA_EMISSAO;DATA_EXPIRACAO;ATIVIDADE_PRINCIPAL;ATIVIDADE_SECUNDARIA1;ATIVIDADE_SECUNDARIA2;ENDERECO;NUMERO;UNIDADE;ANDAR;COMPLEMENTO;BAIRRO;CEP
041 CAFE BAR E RESTAURANTE LTDA;01/09/1998;533603;26/06/2001;31/12/2001;RESTAURANTES E SIMILARES;DISCOTECAS, DANCETERIAS, SALÕES DE DANÇA E SIMILAR;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM;R. CORONEL DULCÍDIO;000517;***;***;TR;BATEL;80420170
041 CINE/VIDEO LTDA;18/03/1998;554917;02/01/2002;***;PRODUÇÃO DE FILMES PARA PUBLICIDADE;***;***;AV. MARECHAL HUMBERTO DE ALENCAR C BRANCO;000793;***;***;TR;TARUMÃ;82530020
0SCAR ANTONIO GALVAN;07/10/2011;1037177;07/10/2011;***;MOTORISTA DE VEÍCULOS DE CARGA;***;***;EST. DO GANCHINHO- LD;005838;***;***;***;GANCHINHO;81930160
1 A CLASSE-AGENCIA DE VIAGEM E TURISMO LTDA;01/04/2001;1246344;11/11/2015;***;AGÊNCIAS DE VIAGENS;SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO;OPERADORES TURÍSTICOS;AV. REPÚBLICA ARGENTINA;000357;05;SB;***;ÁGUA VERDE;80240210
1 M COMERCIO DE ROUPAS E ARTIGOS DE COURO LTDA;22/04/1998;443574;24/04/1998;***;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESS;COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM;COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTE;AV. CANDIDO DE ABREU;000127;***;***;TR;CENTRO CÍVICO;80530000
1 OFICIO DE DISTRIBUIDOR DO FORO CENTRAL DA COMARC;29/12/1980;1039212;25/10/2011;***;CARTÓRIOS;***;***;R. MAUÁ;000920;***;***;***;ALTO DA GLÓRIA;80030200
1 OPCAO CALCADOS E SEMI JOIAS LTDA - ME;03/08/2012;1083217;26/09/2012;***;COMÉRCIO VAREJISTA DE CALÇADOS;COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS;COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM;R. SEBASTIÃO MARCOS LUIZ;001335;***;***;***;CAJURU;82930060
1 SERVICO DE REGISTRO DE IMOVEIS DO FORO CENTRAL D;06/12/1988;859328;20/01/2009;***;CARTÓRIOS;***;***;AL. DOUTOR CARLOS DE CARVALHO;000417;1201;09;CJ 1202;CENTRO;80410180
1/4 DE ANJO DECORACOES E ARTIGOS INFANTIS LTDA;01/09/2001;739616;15/12/2006;31/12/2008;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESS;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFI;COMÉRCIO VAREJISTA DE MÓVEIS;AL. DOUTOR CARLOS DE CARVALHO;001310;***;***;TR;BATEL;80730200
1ª IGREJA BATISTA RENOVADA - MINISTERIO MISSAO DE ;07/07/2014;1232121;17/07/2015;31/12/2015;ATIVIDADES DE ORGANIZAÇÕES RELIGIOSAS E FILOSÓFICA;***;***;R. MARTINS FONTES;000202;01;***;***;FAZENDINHA;81330350
10 ADMINISTRADORA DE BENS LTDA;05/04/2013;1160752;11/12/2013;***;COMPRA E VENDA DE IMÓVEIS PRÓPRIOS;ALUGUEL DE IMÓVEIS PRÓPRIOS;GESTÃO E ADMINISTRAÇÃO DA PROPRIEDADE IMOBILIÁRIA;R. TENENTE FRANCISCO FERREIRA DE SOUZA;001064;01;***;***;HAUER;81630010
10 SUL TECNOLOGIA - EIRELI - ME;07/05/2014;1179041;19/05/2014;***;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;REPARAÇÃO E MANUTENÇÃO DE COMPUTADORES E DE EQUIPA;ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIO;R. ALBINO SILVA;000054;BL A;***;***;SÃO FRANCISCO;80520210
100 PIZZA LTDA;01/07/1998;555857;02/01/2002;***;PIZZARIA;COMÉRCIO VAREJISTA DE BEBIDAS;***;AL. NOSSA SENHORA DO SAGRADO CORAÇÃO;000713;***;***;TR;PINHEIRINHO;81710000
100 FREIOS-SERV COM FREIOS LTDA;01/10/1989;191006;07/08/1991;***;SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍ;COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA;***;R. CEARÁ;000253;***;***;***;PAROLIN;80220260
100 POR CENTO CARNES E CHURRASCO LTDA;18/02/2010;927490;22/03/2010;31/12/2010;COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES;COMÉRCIO VAREJISTA DE CARNES ASSADAS (SEM CONSUMO;COMÉRCIO VAREJISTA DE BEBIDAS;AV. IGUAÇÚ;002751;***;***;***;ÁGUA VERDE;80240030
100 RUIDO TRATAMENTO ACUSTICO AUTOMOTIVO LTDA -ME;20/09/2007;863790;26/02/2009;31/12/2009;SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍ;SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE;***;R. NILO CAIRO;000159;***;***;***;CENTRO;80060050
100% AREA DE LAZER COMERCIO DE MATERIAIS ESPORTIVO;03/01/2014;1259033;22/02/2016;***;COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS;COMÉRCIO VAREJISTA DE MÓVEIS;***;R. GENERAL MARIO TOURINHO;000615;***;***;***;SEMINÁRIO;80740000
1000 CAR COMERCIO DE VEICULOS LTDA;01/04/1999;558347;02/01/2002;***;COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTIL;COMÉRCIO SOB CONSIGNAÇÃO DE VEÍCULOS AUTOMOTORES;***;R. ORLANDO ALBINO VON DER OSTEN;000029;***;***;TR;NOVO MUNDO;81050210
1000 MARCAS SUL EQUIPAMENTOS DE SEGURANCA LTDA - E;23/01/2007;1212271;10/02/2015;***;COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRIOS PARA US;***;***;R. JOSE MENDES SOBRINHO;000237;***;***;***;CIDADE INDUSTRIAL;81350320
1000SEGUROS CORRETORA DE SEGUROS LTDA - ME;10/02/2015;1216122;13/03/2015;***;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREV;***;***;R. NICOLA PELLANDA;004765;01;***;***;UMBARÁ;81940305
1000TINHO DISTRIBUIDORA DE BEBIDAS LTDA;01/09/1999;912857;10/12/2009;***;COMÉRCIO VAREJISTA DE BEBIDAS;***;***;R. JUAREZ ANTONIO MATTEI;000437;***;***;***;XAXIM;81830740
1001 EVENTOS E TURISMO LTDA;01/09/2006;973138;01/12/2010;***;SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXP;AGÊNCIAS DE VIAGENS;TRANSPORTE RODOVIÁRIO COLETIVO DE PASSAGEIROS, SOB;R. HARVEY DE BARROS SILVA;000032;***;***;***;PILARZINHO;82110110
1001 LOJAS - EIRELI - ME;22/04/2008;1210526;27/01/2015;***;COMÉRCIO VAREJISTA DE MÓVEIS;COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E;COMÉRCIO VAREJISTA DE ARTIGOS DE DECORAÇÃO PARA FE;R. TIBAGI;000688;B;***;***;CENTRO;80060110
1001 MATERIAIS DE CONSTRUCAO LTDA-EPP;06/02/1997;1053735;31/01/2012;***;COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM G;***;***;R. ENGENHEIRO ALBERTO MONTEIRO DE CARVALHO;001032;***;***;TR;CAPÃO DA IMBUIA;82810280
1001 SERVICOS DE INSTALACOES ELETRICAS E DE TELEFO;17/02/2003;970195;01/12/2010;***;MANUTENÇÃO DE ESTAÇÕES E REDES DE TELECOMUNICAÇÕES;INSTALAÇÃO E MANUTENÇÃO ELÉTRICA;***;R. PETIT CARNEIRO;000060;***;***;***;ÁGUA VERDE;80240050
1003 - EXPORTADORA E IMPORTADORA DE PRODUTOS MANUF;03/04/1991;467937;04/03/1999;***;COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESS;COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍCIOS EM GER;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFI;TV. OLIVEIRA BELLO;000080;C301;03;AD;CENTRO;80020030
1005-COMERCIO DE CONFECCOES LTDA;01/04/1994;287244;25/04/1994;***;LJ COM VAR ART ACESSORIOS VESTUAR;***;***;R. MAUÁ;001005;***;***;***;ALTO DA GLÓRIA;80030200
100PRE PRODUCAO DE VIDEOS LTDA;28/11/2005;972114;01/12/2010;***;ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, EXCETO AÉRE;ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, E;***;R. CORONEL JOÃO MATTOS GUEDES;000030;01;***;TÉRREO;AHÚ;82200370
